explanation,group,llm_likeness,bucket
The United States,new_human,0.9980169908783502,high_score
The regulation was in accordance with the orthodox structure according to the document,new_human,0.986988207078632,high_score
The answer fits with the article,new_human,0.9829287669299382,high_score
The answer fits with the article,new_human,0.9829287669299382,high_score
The government wanted to terrorize the citizens and opposition in Aleppo.,new_human,0.9822298169883161,high_score
The names are given in the article,new_human,0.9753530894832144,high_score
The practice has died out with the exception of Barrett in this school district.,new_human,0.969476664387111,high_score
The response is relevant and consistent with the facts in the document.,new_human,0.9657109332430788,high_score
The response is relevant and consistent with the facts in the document.,new_human,0.9657109332430788,high_score
The answer misrepresents the facts in the article,new_human,0.9601639942036755,high_score
The answer fits with the text,new_human,0.9575647471243002,high_score
The answer fits with the text,new_human,0.9575647471243002,high_score
The answer fits with the text,new_human,0.9575647471243002,high_score
The answer fits with the text,new_human,0.9575647471243002,high_score
The answer fits with the text,new_human,0.9575647471243002,high_score
The answer fits with the text,new_human,0.9575647471243002,high_score
The answer fits with the text,new_human,0.9575647471243002,high_score
The answer fits with the text,new_human,0.9575647471243002,high_score
The answer fits with the text,new_human,0.9575647471243002,high_score
The answer fits with the text,new_human,0.9575647471243002,high_score
"It is unclear if Mickey Kantor is the same spokesman or not,",new_human,8.165535082949598e-05,low_score
"It is not clear if the season can be saved. Sentence 8 says even if all demands accepted, it remains uncertain. The answer is therefore not correct in its suggestions.",new_human,0.0001508018216031904,low_score
"It is not specifically stated what would need to be done. In fact, sentence 15 indicates that it cannot be at all given that some Sherpas will not go back at all. Negotiations are mentioned in sentence 2, so it appears that it is key that the Sherpas return to work for the season to be saved, but that may not be possible.",new_human,0.0003198501662751622,low_score
"The first answer sentences is not backed up within the document, as it does not have any sentences indicating those reasons specifically. In contrast, the second answer sentence contains info from sentence 5, but it is not specifically said that he believes it to be important. Looking at sentence 8 however, it does seem to be a fair summery when combining sentences 5 and 8 together as they relate to the same topic by all appearances.",new_human,0.00032900770418841334,low_score
"The 2nd and 3rd answer sentences are not relevant as they go beyond the questions scope. The first answer sentence is not supported by the document as it is never stated that lives were actually improved. Sentence 5 makes that claim that things were fixed, but sentence 17 and 18 indicate that they were not helpful, so the answer is not clear.",new_human,0.0003641722140548686,low_score
"The answer is not drawn from the document. The document does not speak to this issue specifically but does have usable info in sentence 4, where it is noted that the whereabouts out the suspects is not known and areas they could be are places that have rejected the UN court's jurisdiction.",new_human,0.00038678698555857184,low_score
"Sentence 1 of the answer is not correct as it is said in sentence 10 that they are getting treatment at a hospital, not from the contractor. It is not said who is paying for it. Sentence 29 indicates that an FIR was filed based on the contractor's statement, but it is not stated who did the filing. It could be said though that they gave a statement. The final sentence is accurate as that was stated in sentence 17",new_human,0.00040800543566643687,low_score
"The first 2 answer lines are not relevant as the question is not asking who judges the recovery. The part about the sea otters also includes info that is not relevant to the question, as it would suffice to just say that they have not yet recovered. Additionally, the final answer sentence is not relevant either as it lists another judging entity.",new_human,0.00043390714864729026,low_score
"The document does not state why he was called that. The first sentence in the answer is not backed up with any document info. The 2nd sentence correctly gets that he was charismatic, but that is not relevant here. The document does not speak of him being successful in making changes. The final sentence can be constructed from the document, but it is not relevant to the question.",new_human,0.000446288256807232,low_score
"The document does not specifically state how ordinary citizens will be affected. Info from 12 is relevent however as it explains where could be less money for investment or charities. Sentence 19 indicates that the Jockey Club is charged a betting Duty, it can be assumed that is passed on to the people betting, but that info is not provided in the document.",new_human,0.00047300308212808954,low_score
"The document does not state how many were carried. (Sentence 4 notes it can be up to 4 bombs). Also, it is not stated if other bombs were dropped, just the two noted in sentence 3. So, the info needed to answer the question is not available in the document.",new_human,0.0005103676076349886,low_score
The article states that it is difficult but does not go into detail why it is so. It can be inferred that the rubble from an earthquake would be heavy and each piece would have to be removed to search beneath them.,new_human,0.0005797423555601633,low_score
"The first part of answer sentence 1 is not relevant as that talks about needed projects. The examples of projects in answer sentence 2 are not needed either as it was not asked what the money was wasted on, just why it could have been spent the way it was. The info from sentence 13 included in the last sentence is relevant, but not all of it is included, so that would need to be added in.",new_human,0.0006436172015235328,low_score
The first answer sentence is a rephrasing of sentence 5 and is therefore not relevant as it does not speak to why the codes were set up in the given time period as opposed to any other time period. The second answer sentence sounds correct but does not come from any of the document's sentences and it does not address why specifically 80 years ago the codes came into existance.,new_human,0.0006834200125636211,low_score
"Sentence 1 is supported by sentence 18. Sentence 2 is also supported, but it is not clear how many people this helped, as the family members of the deceased were not discussed. The 3rd sentence is repetitive and therefore not relevant as it refers to the people already discussed in sentence 1. The sentence is not supported by any of the documents sentences..",new_human,0.0007031457148948056,low_score
"The answer just repeats already known info without providing any examples. It is therefore not relevant. The document does not say specifically what will be done, but sentence 19 notes that there have been arrests.",new_human,0.0007992813977217761,low_score
The first answer sentence contains info from document sentence 3 that answers the question. All that should be included however is that it is an autonomous vehicle. (The acronym does not come from the document). The second and final answer sentences are not drawn from the document and should not be included.,new_human,0.0008239101788037407,low_score
"The first part of the question is not answerable as the document does not give revenue figures. It is also not stated what is being done to increase revenue. Costs being cut are talked about however in sentences 1 (reducing Tengiz's budget), 4 (delaying construction), 8 (deferring non essential work). Additionally, there was no mention of production increases as Russia was not allowing additional oil to be shipped (sentence 7)",new_human,0.0008406498302388148,low_score
"The answer makes use of document sentence 4, but does not include sentence 7 which would be beneficial to add as it notes the main contributors which are not given in sentence 4.",new_human,0.0008776891641676726,low_score
The document does not say who the spokesman is. The answer is not relevant as it is stating information that is already known from sentence 1 which does not properly answer the question.,new_human,0.0008817851929966154,low_score
